id;name;description;name_embedding;name_embedding_content_type;description_embedding;description_embedding_content_type
3af541a4-affc-4d67-afc6-25479f486884;address peninsula;boo egg;;image/png;;image/png
8a084bc3-0ab6-4ada-8d59-0f5a87495d62;substitution and er;unfortunate;;image/png;;image/png
5277df6e-dd39-472c-adbd-6148237f946c;soon;equally;;image/png;;image/png
a1edbe68-d426-49d2-bcf7-4f4a89feafe9;liberalize punctuation;tray governance adrenalin;;image/png;;image/png
716aaf5e-9046-4b1f-9f53-e093a7784d08;scoff hold;apropos;;image/png;;image/png
26876e3d-41a0-4a71-aff5-e08922595d6f;hose hence;than ah igloo;;image/png;;image/png
bd389078-cd01-4aa5-8693-dab73da5697f;while;although apud;;image/png;;image/png
4a522fbb-d1e0-4c36-b111-6eccdafdb6bf;towards;phooey husband;;image/png;;image/png
03572a70-7338-4701-92be-73928ab49d81;certainly;phew yowza;;image/png;;image/png
472eff73-4d0d-4df9-a6d4-0f8a4eb48b20;nicely version;to tinderbox;;image/png;;image/png
a7c5a4fa-6881-40a2-a225-ce17127ea204;duh yet;phooey characterization;;image/png;;image/png
1b28eafe-550c-4f83-b52e-a6ac82996809;incidentally even instead;ah blah;;image/png;;image/png
3807d90e-c461-43d2-874f-7f3b440449c5;pillbox;purple;;image/png;;image/png
a83e4bfa-5974-438e-a197-da71f6550968;between whoa gosh;content calmly;;image/png;;image/png
2cc174ec-7dca-469f-b3df-addddd45e893;finished grok finally;castanet;;image/png;;image/png
08207869-e235-404b-82eb-f688f24c706f;outrun;instead incidentally;;image/png;;image/png
51bcf112-3f21-4390-9631-d911da999058;jealously ah international;swiftly hope;;image/png;;image/png
94faa7a7-9c68-4af2-bcce-c483924b0096;determined apud;while;;image/png;;image/png
96b125b1-a228-42dc-836b-b784d29a035b;that;inasmuch pish;;image/png;;image/png
10197df6-34d3-4696-ac10-409ceadf0684;uh-huh;micromanage in;;image/png;;image/png
e626790e-309d-42c5-92ab-380242e7d2e9;not;ack whereas whoa;;image/png;;image/png
955bca6b-8949-4c7c-b667-4a4437c28993;since;jell apt;;image/png;;image/png
2f1fd08a-4c96-4fb0-92e7-46f43b3e9bde;seemingly pace wildly;knottily ick;;image/png;;image/png
d2fd06df-5f96-4aac-aecf-2a39b8ecdf45;under;aboard bah;;image/png;;image/png
6b2bf534-6bb4-495b-aff0-ab04ba0f3323;before pfft grim;overwork;;image/png;;image/png
e09e4ed2-af8f-4d68-9a3e-5e9521bb7df4;failing tomorrow nasalise;make;;image/png;;image/png
6d3eace6-5fdd-4cfd-9ba8-bd165e7cb501;afford;strategy including above;;image/png;;image/png
7093fc02-7bea-4e49-8a1f-e45864382e7a;wherever;victoriously but whoever;;image/png;;image/png
088c4403-2a5b-4204-b5ce-0e7d8bb50b58;ugh;wholly optimistically descriptive;;image/png;;image/png
a4199947-2b4d-498f-9666-cad6f390fcb9;opposite;usually coin vaguely;;image/png;;image/png
